"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"5/3/2023 12 a.m. EDT",411778,412080,405993,-2223
US48,"5/3/2023 1 a.m. EDT",391924,390803,385090,-1549
US48,"5/3/2023 2 a.m. EDT",377017,374827,368846,-2269
US48,"5/3/2023 3 a.m. EDT",364971,363641,356040,-2475
US48,"5/3/2023 4 a.m. EDT",359048,360174,350334,-2913
US48,"5/3/2023 5 a.m. EDT",359699,363629,350803,-3496
US48,"5/3/2023 6 a.m. EDT",367082,375501,358284,-3457
US48,"5/3/2023 7 a.m. EDT",388199,394363,379397,-4281
US48,"5/3/2023 8 a.m. EDT",407504,411050,399537,-4708
US48,"5/3/2023 9 a.m. EDT",415953,421735,408517,-4693
US48,"5/3/2023 10 a.m. EDT",419512,427347,414288,-3042
US48,"5/3/2023 11 a.m. EDT",423214,430145,418164,-2890
US48,"5/3/2023 12 p.m. EDT",425945,432101,419932,-3133
US48,"5/3/2023 1 p.m. EDT",429508,433660,423382,-2579
US48,"5/3/2023 2 p.m. EDT",431098,435690,425243,-2529
US48,"5/3/2023 3 p.m. EDT",434411,438927,429013,-2751
US48,"5/3/2023 4 p.m. EDT",440282,444648,435530,-2549
US48,"5/3/2023 5 p.m. EDT",444195,451966,438920,-3403
US48,"5/3/2023 6 p.m. EDT",451054,458853,445321,-3271
US48,"5/3/2023 7 p.m. EDT",454033,461547,448851,-3331
US48,"5/3/2023 8 p.m. EDT",453782,461874,448736,-3621
US48,"5/3/2023 9 p.m. EDT",455307,458501,449922,-4311
US48,"5/3/2023 10 p.m. EDT",450403,448968,443946,-4695
US48,"5/3/2023 11 p.m. EDT",434039,431066,427048,-4738
US48,"5/4/2023 12 a.m. EDT",412982,411090,406409,-3421
US48,"5/4/2023 1 a.m. EDT",393045,390902,386981,-340
US48,"5/4/2023 2 a.m. EDT",377694,373669,370131,-2210
US48,"5/4/2023 3 a.m. EDT",366206,359982,357985,-3131
US48,"5/4/2023 4 a.m. EDT",359453,358716,352288,-3478
US48,"5/4/2023 5 a.m. EDT",359562,361589,352247,-3768
US48,"5/4/2023 6 a.m. EDT",367544,374057,359985,-4211
US48,"5/4/2023 7 a.m. EDT",388463,391870,381813,-4024
US48,"5/4/2023 8 a.m. EDT",408045,408449,400961,-4155
US48,"5/4/2023 9 a.m. EDT",416007,418500,409679,-4287
US48,"5/4/2023 10 a.m. EDT",419184,424536,413368,-4775
US48,"5/4/2023 11 a.m. EDT",423531,428694,418895,-4260
US48,"5/4/2023 12 p.m. EDT",426962,431979,421515,-3699
US48,"5/4/2023 1 p.m. EDT",430839,435352,425339,-3686
US48,"5/4/2023 2 p.m. EDT",435597,439292,430029,-3770
US48,"5/4/2023 3 p.m. EDT",440798,443765,434577,-3335
US48,"5/4/2023 4 p.m. EDT",444819,449018,438779,-3575
